Agente,Fecha,Hora,Tema,Respondido (S/N),Resuelto,Velocidad de respuesta en segundos,Duración promedio de la llamada,Calificación de satisfacción,Duración de la llamada,Duración de la llamada en minutos,NombreDia,NombreMes
Diane,2021-01-04,11,Admin Support,Y,N,89.0,00:04:16,3.0,256,4.27,Monday,January
Jim,2021-01-04,11,Admin Support,Y,Y,74.0,00:06:18,3.0,378,6.3,Monday,January
Martha,2021-01-04,11,Payment related,Y,Y,63.0,00:02:22,2.0,142,2.37,Monday,January
Becky,2021-01-04,11,Contract related,Y,Y,45.0,00:06:31,5.0,391,6.52,Monday,January
Dan,2021-01-04,11,Payment related,Y,Y,31.0,00:06:43,2.0,403,6.72,Monday,January
Joe,2021-01-04,11,Contract related,Y,Y,43.0,00:03:44,5.0,224,3.73,Monday,January
Martha,2021-01-04,11,Streaming,Y,Y,50.0,00:05:42,4.0,342,5.7,Monday,January
Dan,2021-01-04,12,Technical Support,Y,Y,48.0,00:05:12,4.0,312,5.2,Monday,January
Martha,2021-01-04,12,Admin Support,Y,Y,113.0,00:02:44,5.0,164,2.73,Monday,January
Joe,2021-01-04,12,Technical Support,Y,Y,103.0,00:06:40,5.0,400,6.67,Monday,January
Becky,2021-01-04,12,Technical Support,Y,N,95.0,00:04:27,3.0,267,4.45,Monday,January
Joe,2021-01-04,12,Admin Support,Y,Y,30.0,00:05:04,1.0,304,5.07,Monday,January
Greg,2021-01-04,13,Admin Support,Y,Y,124.0,00:03:19,3.0,199,3.32,Monday,January
Diane,2021-01-04,13,Admin Support,Y,Y,17.0,00:02:03,5.0,123,2.05,Monday,January
Stewart,2021-01-04,13,Streaming,Y,Y,113.0,00:06:00,3.0,360,6.0,Monday,January
Jim,2021-01-04,13,Technical Support,Y,Y,25.0,00:02:27,5.0,147,2.45,Monday,January
Jim,2021-01-04,13,Admin Support,Y,Y,52.0,00:04:22,5.0,262,4.37,Monday,January
Dan,2021-01-04,13,Admin Support,Y,Y,28.0,00:02:44,5.0,164,2.73,Monday,January
Greg,2021-01-04,14,Technical Support,Y,Y,69.0,00:03:05,3.0,185,3.08,Monday,January
Martha,2021-01-04,14,Streaming,Y,Y,106.0,00:03:52,3.0,232,3.87,Monday,January
Joe,2021-01-04,14,Payment related,Y,Y,26.0,00:04:59,3.0,299,4.98,Monday,January
Joe,2021-01-04,14,Payment related,Y,Y,53.0,00:05:55,4.0,355,5.92,Monday,January
Martha,2021-01-04,14,Technical Support,Y,Y,77.0,00:04:10,2.0,250,4.17,Monday,January
Jim,2021-01-04,14,Contract related,Y,Y,45.0,00:03:02,3.0,182,3.03,Monday,January
Greg,2021-01-04,15,Streaming,Y,Y,56.0,00:04:16,4.0,256,4.27,Monday,January
Stewart,2021-01-04,15,Admin Support,Y,Y,13.0,00:03:56,2.0,236,3.93,Monday,January
Stewart,2021-01-04,15,Admin Support,Y,Y,120.0,00:06:50,5.0,410,6.83,Monday,January
Diane,2021-01-04,15,Payment related,Y,Y,22.0,00:00:50,1.0,50,0.83,Monday,January
Martha,2021-01-04,16,Payment related,Y,Y,81.0,00:03:21,4.0,201,3.35,Monday,January
Martha,2021-01-04,16,Contract related,Y,Y,71.0,00:00:48,2.0,48,0.8,Monday,January
Stewart,2021-01-04,16,Payment related,Y,Y,75.0,00:01:33,4.0,93,1.55,Monday,January
Martha,2021-01-04,16,Technical Support,Y,Y,77.0,00:02:42,4.0,162,2.7,Monday,January
Joe,2021-01-04,16,Streaming,Y,Y,88.0,00:06:27,4.0,387,6.45,Monday,January
Stewart,2021-01-04,17,Admin Support,Y,Y,82.0,00:03:05,2.0,185,3.08,Monday,January
Jim,2021-01-04,17,Technical Support,Y,Y,110.0,00:06:30,3.0,390,6.5,Monday,January
Martha,2021-01-04,17,Admin Support,Y,N,70.0,00:01:32,3.0,92,1.53,Monday,January
Becky,2021-01-04,17,Admin Support,Y,Y,117.0,00:03:40,3.0,220,3.67,Monday,January
Joe,2021-01-05,9,Streaming,Y,Y,18.0,00:00:50,3.0,50,0.83,Tuesday,January
Joe,2021-01-05,9,Streaming,Y,Y,113.0,00:02:36,4.0,156,2.6,Tuesday,January
Stewart,2021-01-05,9,Contract related,Y,N,68.0,00:03:29,5.0,209,3.48,Tuesday,January
Greg,2021-01-05,9,Payment related,Y,Y,67.0,00:04:14,5.0,254,4.23,Tuesday,January
Joe,2021-01-05,9,Technical Support,Y,Y,36.0,00:01:07,5.0,67,1.12,Tuesday,January
Becky,2021-01-05,10,Technical Support,Y,Y,33.0,00:02:30,1.0,150,2.5,Tuesday,January
Dan,2021-01-05,10,Contract related,Y,Y,113.0,00:01:59,5.0,119,1.98,Tuesday,January
Greg,2021-01-05,10,Contract related,Y,Y,106.0,00:06:19,3.0,379,6.32,Tuesday,January
Joe,2021-01-05,10,Streaming,Y,Y,23.0,00:04:59,3.0,299,4.98,Tuesday,January
Greg,2021-01-05,11,Payment related,Y,Y,11.0,00:04:42,1.0,282,4.7,Tuesday,January
Greg,2021-01-05,11,Contract related,Y,Y,73.0,00:04:45,5.0,285,4.75,Tuesday,January
Dan,2021-01-05,11,Admin Support,Y,Y,109.0,00:04:49,5.0,289,4.82,Tuesday,January
Martha,2021-01-05,11,Payment related,Y,Y,29.0,00:04:14,4.0,254,4.23,Tuesday,January
Becky,2021-01-05,11,Admin Support,Y,Y,81.0,00:01:14,4.0,74,1.23,Tuesday,January
Greg,2021-01-05,11,Contract related,Y,Y,59.0,00:03:52,1.0,232,3.87,Tuesday,January
Becky,2021-01-05,12,Streaming,Y,Y,32.0,00:06:29,4.0,389,6.48,Tuesday,January
Martha,2021-01-05,12,Admin Support,Y,Y,116.0,00:00:42,4.0,42,0.7,Tuesday,January
Diane,2021-01-05,12,Payment related,Y,Y,92.0,00:01:55,5.0,115,1.92,Tuesday,January
Greg,2021-01-05,12,Streaming,Y,Y,62.0,00:06:02,5.0,362,6.03,Tuesday,January
Joe,2021-01-05,13,Payment related,Y,Y,83.0,00:01:53,5.0,113,1.88,Tuesday,January
Joe,2021-01-05,13,Admin Support,Y,Y,71.0,00:02:31,3.0,151,2.52,Tuesday,January
Greg,2021-01-05,13,Admin Support,Y,N,74.0,00:04:32,3.0,272,4.53,Tuesday,January
Joe,2021-01-05,13,Technical Support,Y,Y,96.0,00:05:46,4.0,346,5.77,Tuesday,January
Diane,2021-01-05,14,Admin Support,Y,Y,110.0,00:01:41,1.0,101,1.68,Tuesday,January
Jim,2021-01-05,14,Streaming,Y,N,110.0,00:02:38,3.0,158,2.63,Tuesday,January
Dan,2021-01-05,15,Technical Support,Y,Y,117.0,00:03:03,4.0,183,3.05,Tuesday,January
Becky,2021-01-05,15,Admin Support,Y,Y,44.0,00:05:53,3.0,353,5.88,Tuesday,January
Diane,2021-01-05,15,Contract related,Y,Y,47.0,00:06:02,4.0,362,6.03,Tuesday,January
Greg,2021-01-05,15,Admin Support,Y,Y,97.0,00:01:16,3.0,76,1.27,Tuesday,January
Greg,2021-01-05,15,Streaming,Y,Y,67.0,00:02:39,4.0,159,2.65,Tuesday,January
Diane,2021-01-05,15,Streaming,Y,Y,72.0,00:06:48,3.0,408,6.8,Tuesday,January
Becky,2021-01-05,15,Contract related,Y,Y,68.0,00:04:21,3.0,261,4.35,Tuesday,January
Joe,2021-01-05,15,Payment related,Y,Y,98.0,00:06:22,5.0,382,6.37,Tuesday,January
Joe,2021-01-05,15,Streaming,Y,Y,120.0,00:00:56,3.0,56,0.93,Tuesday,January
Dan,2021-01-05,15,Payment related,Y,Y,13.0,00:02:33,1.0,153,2.55,Tuesday,January
Jim,2021-01-05,15,Admin Support,Y,Y,95.0,00:01:47,5.0,107,1.78,Tuesday,January
Martha,2021-01-05,15,Payment related,Y,Y,31.0,00:00:42,5.0,42,0.7,Tuesday,January
Dan,2021-01-05,16,Streaming,Y,Y,113.0,00:06:22,3.0,382,6.37,Tuesday,January
Martha,2021-01-05,16,Technical Support,Y,Y,116.0,00:04:40,3.0,280,4.67,Tuesday,January
Martha,2021-01-05,16,Admin Support,Y,N,94.0,00:05:29,5.0,329,5.48,Tuesday,January
Martha,2021-01-05,16,Admin Support,Y,N,51.0,00:04:42,4.0,282,4.7,Tuesday,January
Diane,2021-01-05,16,Technical Support,Y,Y,60.0,00:04:07,4.0,247,4.12,Tuesday,January
Diane,2021-01-05,16,Contract related,Y,Y,59.0,00:06:04,2.0,364,6.07,Tuesday,January
Dan,2021-01-05,17,Contract related,Y,Y,16.0,00:03:33,4.0,213,3.55,Tuesday,January
Diane,2021-01-05,17,Technical Support,Y,Y,81.0,00:01:51,3.0,111,1.85,Tuesday,January
Joe,2021-01-05,17,Streaming,Y,Y,65.0,00:06:46,1.0,406,6.77,Tuesday,January
Martha,2021-01-05,17,Streaming,Y,Y,55.0,00:03:04,2.0,184,3.07,Tuesday,January
Martha,2021-01-05,17,Technical Support,Y,Y,31.0,00:02:25,4.0,145,2.42,Tuesday,January
Diane,2021-01-05,17,Streaming,Y,Y,45.0,00:05:13,2.0,313,5.22,Tuesday,January
Stewart,2021-01-06,9,Payment related,Y,Y,43.0,00:02:09,5.0,129,2.15,Wednesday,January
Stewart,2021-01-06,10,Technical Support,Y,Y,55.0,00:05:56,4.0,356,5.93,Wednesday,January
Stewart,2021-01-06,10,Contract related,Y,Y,63.0,00:02:19,3.0,139,2.32,Wednesday,January
Jim,2021-01-06,10,Contract related,Y,Y,122.0,00:05:52,1.0,352,5.87,Wednesday,January
Stewart,2021-01-06,10,Contract related,Y,Y,71.0,00:02:39,4.0,159,2.65,Wednesday,January
Jim,2021-01-06,10,Technical Support,Y,Y,54.0,00:04:57,4.0,297,4.95,Wednesday,January
Stewart,2021-01-06,10,Streaming,Y,Y,74.0,00:03:22,4.0,202,3.37,Wednesday,January
Stewart,2021-01-06,10,Admin Support,Y,Y,125.0,00:04:47,4.0,287,4.78,Wednesday,January
Dan,2021-01-06,11,Payment related,Y,Y,110.0,00:03:43,3.0,223,3.72,Wednesday,January
Martha,2021-01-06,11,Technical Support,Y,Y,74.0,00:01:31,5.0,91,1.52,Wednesday,January
Diane,2021-01-06,11,Payment related,Y,Y,80.0,00:04:27,4.0,267,4.45,Wednesday,January
Joe,2021-01-06,11,Contract related,Y,Y,110.0,00:03:54,2.0,234,3.9,Wednesday,January
Stewart,2021-01-06,11,Payment related,Y,Y,26.0,00:03:08,3.0,188,3.13,Wednesday,January
Joe,2021-01-06,12,Admin Support,Y,Y,97.0,00:01:47,3.0,107,1.78,Wednesday,January
Dan,2021-01-06,12,Admin Support,Y,N,82.0,00:05:40,3.0,340,5.67,Wednesday,January
Becky,2021-01-06,12,Streaming,Y,N,102.0,00:05:53,5.0,353,5.88,Wednesday,January
Jim,2021-01-06,12,Admin Support,Y,Y,120.0,00:00:52,5.0,52,0.87,Wednesday,January
Greg,2021-01-06,13,Streaming,Y,Y,70.0,00:05:19,3.0,319,5.32,Wednesday,January
Stewart,2021-01-06,13,Payment related,Y,Y,122.0,00:02:56,3.0,176,2.93,Wednesday,January
Joe,2021-01-06,14,Payment related,Y,Y,19.0,00:00:55,1.0,55,0.92,Wednesday,January
Greg,2021-01-06,14,Payment related,Y,Y,71.0,00:02:37,4.0,157,2.62,Wednesday,January
Joe,2021-01-06,14,Technical Support,Y,Y,24.0,00:04:59,1.0,299,4.98,Wednesday,January
Martha,2021-01-06,14,Technical Support,Y,Y,67.0,00:05:36,1.0,336,5.6,Wednesday,January
Martha,2021-01-06,14,Streaming,Y,N,57.0,00:04:14,3.0,254,4.23,Wednesday,January
Diane,2021-01-06,14,Streaming,Y,Y,108.0,00:05:03,4.0,303,5.05,Wednesday,January
Stewart,2021-01-06,14,Payment related,Y,Y,99.0,00:04:08,4.0,248,4.13,Wednesday,January
Stewart,2021-01-06,14,Payment related,Y,Y,56.0,00:04:52,1.0,292,4.87,Wednesday,January
Stewart,2021-01-06,15,Payment related,Y,Y,121.0,00:03:57,3.0,237,3.95,Wednesday,January
Joe,2021-01-06,15,Contract related,Y,Y,72.0,00:06:00,1.0,360,6.0,Wednesday,January
Greg,2021-01-06,15,Contract related,Y,Y,54.0,00:06:15,4.0,375,6.25,Wednesday,January
Martha,2021-01-06,16,Admin Support,Y,Y,30.0,00:04:36,3.0,276,4.6,Wednesday,January
Jim,2021-01-06,16,Payment related,Y,Y,44.0,00:01:04,2.0,64,1.07,Wednesday,January
Greg,2021-01-06,16,Payment related,Y,N,97.0,00:01:58,4.0,118,1.97,Wednesday,January
Jim,2021-01-06,16,Streaming,Y,Y,47.0,00:01:49,3.0,109,1.82,Wednesday,January
